Day,Anime Search Index
2023-01-01,92
2023-01-08,86
2023-01-15,82
2023-01-22,82
2023-01-29,81
2023-02-05,83
2023-02-12,77
2023-02-19,80
2023-02-26,81
2023-03-05,89
2023-03-12,83
2023-03-19,82
2023-03-26,82
2023-04-02,91
2023-04-09,87
2023-04-16,87
2023-04-23,89
2023-04-30,89
2023-05-07,89
2023-05-14,84
2023-05-21,87
2023-05-28,87
2023-06-04,87
2023-06-11,82
2023-06-18,93
2023-06-25,94
2023-07-02,99
2023-07-09,99
2023-07-16,100
2023-07-23,97
2023-07-30,95
2023-08-06,94
2023-08-13,95
2023-08-20,89
2023-08-27,87
2023-09-03,86
2023-09-10,80
2023-09-17,81
2023-09-24,84
2023-10-01,87
2023-10-08,88
2023-10-15,85
2023-10-22,84
2023-10-29,87
2023-11-05,84
2023-11-12,82
2023-11-19,81
2023-11-26,81
2023-12-03,82
2023-12-10,82
2023-12-17,85
2023-12-24,92
2023-12-31,95
