Day,Anime: (Australia)
2023-01-01,87
2023-01-08,85
2023-01-15,82
2023-01-22,83
2023-01-29,80
2023-02-05,76
2023-02-12,74
2023-02-19,74
2023-02-26,77
2023-03-05,83
2023-03-12,82
2023-03-19,82
2023-03-26,80
2023-04-02,89
2023-04-09,100
2023-04-16,92
2023-04-23,89
2023-04-30,83
2023-05-07,83
2023-05-14,86
2023-05-21,85
2023-05-28,83
2023-06-04,73
2023-06-11,82
2023-06-18,81
2023-06-25,86
2023-07-02,95
2023-07-09,97
2023-07-16,89
2023-07-23,93
2023-07-30,91
2023-08-06,94
2023-08-13,90
2023-08-20,92
2023-08-27,86
2023-09-03,90
2023-09-10,91
2023-09-17,87
2023-09-24,90
2023-10-01,95
2023-10-08,88
2023-10-15,84
2023-10-22,85
2023-10-29,87
2023-11-05,92
2023-11-12,88
2023-11-19,88
2023-11-26,80
2023-12-03,82
2023-12-10,83
2023-12-17,87
2023-12-24,83
2023-12-31,92
